refcode,Density,smiles
LUJLEJ,1.85,O=N(=O)N=C1Nc2cc(c(cc2N1)N(=O)=O)N(=O)=O
WANVEP01,1.849,O=N(=O)OCC1=C(CON(=O)=O)C(=NO1)C1=NOC(=C1CON(=O)=O)CON(=O)=O
COGDUZ,1.849,O=N(=O)C1=NN(N=NN2N=C(C=C2N(=O)=O)N(=O)=O)C(=C1)N(=O)=O
IPEZUZ01,1.849,O=N(=O)Nc1nc(N=[N+]=[N-])nc(N=[N+]=[N-])n1
XACCOW,1.848,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1c(cc(c(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O
FORMEG,1.848,NC1=NO[N+](=C1C1=[N+]([O-])ON=C1N)[O-]
CORYIR,1.846,O=N(=O)OCC(CON(=O)=O)ON(=O)=O
GEPRAU,1.845,O=[N+]([O-])/N=[N+](\[O-])c1nonc1Oc1nonc1/[N+]([O-])=N/[N+](=O)[O-]
PERYTN12,1.845,O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O
REBPAS,1.844,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)NN(=O)=O
VALTEJ01,1.844,O=N(=O)C(COCOCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
AJOCAG,1.843,O=[N+]([O-])N=c1[nH]c(Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])no1
PIGSEF,1.842,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(-n2cc([N+](=O)[O-])nc2[N+](=O)[O-])c1[N+](=O)[O-]
NUQPOF,1.841,Oc1c2C(=O)c3c(O)c(cc(c3C(=O)c2c(cc1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
TALLIE,1.841,O=C(NN(=O)=O)OCCOC(=O)NN(=O)=O
HOYSEV,1.84,O=[N+]([O-])C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PAWVIV,1.84,O=[N+]([O-])OC12CC3N([N+](=O)[O-])C(C1)N([N+](=O)[O-])C(C2)N3[N+](=O)[O-]
RAQRIL,1.84,O=[N+]([O-])c1cc2c(no[n+]2[O-])c2c1no[n+]2[O-]
AFUGEP01,1.839,O=[N+]([O-])c1nonc1-c1nonc1-c1nonc1[N+](=O)[O-]
DATNBZ,1.839,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-]
WERYEX,1.839,O=[N+]([O-])N=C1NC2NC(=N[N+](=O)[O-])NC2N1
KIZDAA,1.839,NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
QUFPEO,1.839,Nc1cc(c(O)c(c1N(=O)=O)N(=O)=O)N(=O)=O
VEGHEU,1.838,O=C1CN([N+](=O)[O-])C(=O)CN1[N+](=O)[O-]
YITJES,1.838,CN(CN(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
XOCNUA,1.838,NC1=C(N(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)N=C1N(=O)=O)N(=O)=O
QUFPUE,1.837,Oc1c(cc([N+]#N)c([O-])c1N(=O)=O)N(=O)=O
UZAWEZ,1.836,NC(=O)CCC(N(=O)=O)(N(=O)=O)N(=O)=O
TIPMUC,1.836,O=C(CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N=[N+]=[N-]
GATFEP,1.836,NC1=C(N(CN2N=C(C(=C2N(=O)=O)N)N(=O)=O)N=C1N(=O)=O)N(=O)=O
UVILAO,1.835,Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N
YANREM,1.835,NC1=[NH+]N=NN1N=[N+]([O-])[O-]
YANREM01,1.835,NC1=[NH+]N=NN1[N-]N(=O)=O
